platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,buy_box_seller,manufacturer_name,brand,model_number,upc,part_number,ratings_count,average_rating,listing_url,image_urls,seller_url
4C1VIH1ROMWH,WALMART-US,Refurbished Sony Marvel's Spider-Man 2 Bundle PlayStation 5 Console,USD,449,The Recon Group,,Sony,VIPRB-Marvel's Spider-Man 2 Bundle PlayStation 5 Console,195925877162,NA,3,3.3333,https://www.walmart.com/ip/Refurbished-Sony-Marvel-s-Spider-Man-2-Bundle-PlayStation-5-Console/5202934724,"https://i5.walmartimages.com/seo/Refurbished-Sony-Marvel-s-Spider-Man-2-Bundle-PlayStation-5-Console_bab3c1ec-5cee-4fc5-8e10-9162bd088362.7e29c92f59cb0997db5e0c62afbbe7dd.jpeg,https://i5.walmartimages.com/asr/a402bf95-1afb-4bbc-88a4-2da8688cde48.52e40c303ed3862917ac9907964de63e.jpeg,https://i5.walmartimages.com/asr/f2f95cfe-1285-4e10-b914-1cc273f0205f.b255139736ee5e917e6734105a006df1.jpeg,https://i5.walmartimages.com/asr/ef491e76-c4cb-40a8-bf2b-6a3ebdc3e02f.bbbb4defabd76c5deeecd2ffa4614e8b.jpeg,https://i5.walmartimages.com/asr/840f2d55-326c-448b-a5a3-86242c52b13a.42a391b40779c075007a44c6e698bc83.jpeg",https://www.walmart.com/seller/152
1A8ZGO07E9NH,WALMART-US,"Sony PlayStation 5 Must-Play Games Bundle: Disc Version Console with Wireless Controller with The Last of Us Remastered, God of War & Horizon Zero Dawn",USD,689.99,N/A,,Sony,1000031652,749243001794,NA,20,4.15,https://www.walmart.com/ip/Sony-PlayStation-5-Must-Play-Games-Bundle-Disc-Version-Console-Wireless-Controller-The-Last-Us-Remastered-God-War-Horizon-Zero-Dawn/588207475,"https://i5.walmartimages.com/seo/Sony-PlayStation-5-Must-Play-Games-Bundle-Disc-Version-Console-Wireless-Controller-The-Last-Us-Remastered-God-War-Horizon-Zero-Dawn_a3c1cd1d-f512-45cd-9647-c5a9c3328407.30510acc6815d671d7581ca65926c4c1.jpeg,https://i5.walmartimages.com/asr/5ef32ee8-2077-41b5-9be4-7bb1d0ebe593.9b4cb0f951b74870bf4e2381453e8f16.jpeg,https://i5.walmartimages.com/asr/769c1c8f-98b7-4ebb-bf14-c9b3c3199b35.0806817da4947be89dac54eb531be080.jpeg,https://i5.walmartimages.com/asr/05a4d87f-a8e1-4e57-bc6f-d94dfad0aa20.58c45b447a82a81a7dec87594d6fc537.jpeg,https://i5.walmartimages.com/asr/e097d8a8-e304-4d30-8ac1-96164dcde09d.07834b4bc596e758ccdf17d0b8182b56.jpeg",https://www.walmart.com/seller/360
30XT0VAO8J1D,WALMART-US,Pre-Owned Sony PlayStation 5 Console (Digital Edition) (Good),USD,369,The Recon Group,,Sony,VIPRB-PlayStation 5 Console (Digital Edition),195925556852,NA,0,,https://www.walmart.com/ip/Pre-Owned-Sony-PlayStation-5-Console-Digital-Edition-Good/2431904478,https://i5.walmartimages.com/seo/Pre-Owned-Sony-PlayStation-5-Console-Digital-Edition-Good_bd11c9f3-53ab-458e-a01f-def1e3e8bbe4.5fcad1907ca88f87ea00ed7e3b6f77cf.jpeg,https://www.walmart.com/seller/152
1LDTYTMAW8SG,WALMART-US,"Xbox Series X Video Gaming Console, Bundle with PS5_PlayStation 5 Digital Console",USD,674.99,Divine Sales Inc,,Sony,,711719733904,NA,28,4.7143,https://www.walmart.com/ip/Xbox-Series-X-Video-Gaming-Console-Bundle-with-PS5-PlayStation-5-Digital-Console/2414596471,"https://i5.walmartimages.com/seo/Xbox-Series-X-Video-Gaming-Console-Bundle-with-PS5-PlayStation-5-Digital-Console_1ce6ef67-c0b9-4a5b-b46c-589ac050e216.00d8af23e031fa2390530119e13a5d9e.jpeg,https://i5.walmartimages.com/asr/5d43f8db-4e87-4575-a519-20bab6977e14.48f7f6439ec5d5d79d6d0c1b24b3e889.jpeg,https://i5.walmartimages.com/asr/0970c381-fa60-4b5b-8ccd-7e38c9633ce5.7d1fc134c00e385eaacead8ac5a24c04.jpeg,https://i5.walmartimages.com/asr/6f88360a-afc6-4b0b-9a3e-96ef13234994.f249f19d204adbb7ee9538790fb6103b.jpeg,https://i5.walmartimages.com/asr/66993ca4-f972-4ef5-a857-e54b9a2900c2.01d67c4daf7603b72f74b35bf2a1b43d.jpeg,https://i5.walmartimages.com/asr/7debadc6-81a8-441e-9bb3-f4d715890140.ebf00537d65fb14bfb489edc6db1c22a.jpeg,https://i5.walmartimages.com/asr/45c34c96-5405-42f9-afa1-427f0e0effc9.b24f94d56986a6b761a463218c1aab8e.jpeg",https://www.walmart.com/seller/101289432
667ARWT3J3J9,WALMART-US,Newest TEC Sony PlayStation_PS5 Gaming Console(Disc) with Marvel’s Spider-Man 2 Bundle Limited Edition,USD,549.99,Tech Cell Corp,,Sony,,656485746683,NA,0,,https://www.walmart.com/ip/Newest-TEC-Sony-PlayStation-PS5-Gaming-Console-Disc-with-Marvel-s-Spider-Man-2-Bundle-Limited-Edition/534831230,"https://i5.walmartimages.com/seo/Newest-TEC-Sony-PlayStation-PS5-Gaming-Console-Disc-with-Marvel-s-Spider-Man-2-Bundle-Limited-Edition_055b12de-e4cb-44b7-a99b-5b5d247b3726.9ebda72c8ee25cf9b88c1ed3eaa91854.jpeg,https://i5.walmartimages.com/asr/4769c33b-0912-4fa3-8dcf-8b0289a141e1.cefe3c49da58213e18934cb750e630a3.jpeg,https://i5.walmartimages.com/asr/6836e8ad-4114-4d68-9543-1a2350445df9.3df6f54bf91471e694a344faebf1c802.jpeg,https://i5.walmartimages.com/asr/042576ab-5b6d-41a1-b272-e8003cb71e7c.8689c0e7be388520ec4f6c37130b833e.jpeg,https://i5.walmartimages.com/asr/6dd7c7e4-2c6d-4a28-83c8-1f03926b349f.7af209a0f1522b2aee30d2b86d8d6a42.jpeg,https://i5.walmartimages.com/asr/20a920e5-92ad-4ddd-9c83-dacb40bbd7ad.ede9c794c929215ea52a195a987180d0.jpeg",https://www.walmart.com/seller/14673
1HK8SCWU5BF1,WALMART-US,Sony PlayStation 5 Digital GOW Console with Extra Black Dualsense Controller and Skins Voucher,USD,629.99,MegaGoods Inc,,Sony,,658580597191,NA,0,,https://www.walmart.com/ip/Sony-PlayStation-5-Digital-GOW-Console-with-Extra-Black-Dualsense-Controller-and-Skins-Voucher/1187293151,https://i5.walmartimages.com/seo/Sony-PlayStation-5-Digital-GOW-Console-with-Extra-Black-Dualsense-Controller-and-Skins-Voucher_3694ee3b-f21b-43f9-ac88-0954fb1f960e.bf596c08cc1743c769f1a31707906c5a.jpeg,https://www.walmart.com/seller/1425
61VJQU4ADV44,WALMART-US,PlayStation 5 Digital Edition with PS5 Starlight Blue DualSense Controller W/ Pulse Headset Limited Bundle,USD,649.99,"Matevosian Enterprises Inc,",,Sony,,681378444629,NA,44,3.6136,https://www.walmart.com/ip/PlayStation-5-Digital-Edition-with-PS5-Starlight-Blue-DualSense-Controller-W-Pulse-Headset-Limited-Bundle/841765146,"https://i5.walmartimages.com/seo/PlayStation-5-Digital-Edition-with-PS5-Starlight-Blue-DualSense-Controller-W-Pulse-Headset-Limited-Bundle_90f42e9c-3d6b-49cf-ae09-e704341b26f0.1bfdc5a3e0d123456b14dfc75a2855a4.jpeg,https://i5.walmartimages.com/asr/6ba4e6c9-a3a2-47fa-a1ea-a5994ca3ce3d.38ab28e3ca04d73182c23d82ec0ee2d2.jpeg,https://i5.walmartimages.com/asr/5e5b41cb-127b-48ae-adbc-c62c4aa812d2.d90c423b5ba99cd90ecef5fc6d793216.jpeg,https://i5.walmartimages.com/asr/a455f02d-fcf8-492d-a25d-a44f385013bb.7c4f5f6ffe437af287dba867bd863894.png",https://www.walmart.com/seller/1925
4W8A5JCSLJ9U,WALMART-US,PlayStation 5 Digital Edition with PS5 Nova Pink DualSense Controller Limited Bundle,USD,599,"Matevosian Enterprises Inc,",,Sony,,681378336580,NA,2,3,https://www.walmart.com/ip/PlayStation-5-Digital-Edition-with-PS5-Nova-Pink-DualSense-Controller-Limited-Bundle/259736371,"https://i5.walmartimages.com/seo/PlayStation-5-Digital-Edition-with-PS5-Nova-Pink-DualSense-Controller-Limited-Bundle_b7f754cd-ede5-41f6-9a83-72ea880c2955.09371d5f2a0d9a52c81ed7045ad3705f.jpeg,https://i5.walmartimages.com/asr/fdc78e8a-9248-4a65-8661-dadf32d1e16d.adc45355dd4eb0a698f9757cb17b92cf.jpeg,https://i5.walmartimages.com/asr/975f73df-23f4-4e13-9d3b-97a0a24f43bd.7d6376e9cf37ebafb47e97f259dd92e2.png,https://i5.walmartimages.com/asr/f2f88a03-d5c2-4137-aa35-51e9c78b601b.cfdfc31acfe7ffac2d07cd1159e80ff3.jpeg",https://www.walmart.com/seller/1925
5RXWRSW4NXIE,WALMART-US,Sony PlayStation 5 Core Console with Call of Duty: Modern Warfare II with Headset and DualSense Controller in Pink,USD,769.99,MegaGoods Inc,,Sony,,658580596484,NA,0,,https://www.walmart.com/ip/Sony-PlayStation-5-Core-Console-with-Call-of-Duty-Modern-Warfare-II-with-Headset-and-DualSense-Controller-in-Pink/1499127875,https://i5.walmartimages.com/seo/Sony-PlayStation-5-Core-Console-with-Call-of-Duty-Modern-Warfare-II-with-Headset-and-DualSense-Controller-in-Pink_a7db2d63-7350-4a6b-97d1-22cd33fdcc06.1185efdecff3cce0cd5249f695368961.jpeg,https://www.walmart.com/seller/1425
2J7T2GYY1NKF,WALMART-US,"Sony Playstation 5 Disc Version Console with Extra Blue Controller, Media Remote and Surge Pro Gamer Starter Pack 11-Piece Accessory Bundle",USD,699.99,Global Cellutions Distributors Inc,,Sony,390178644,084282775627,NA,0,,https://www.walmart.com/ip/Sony-Playstation-5-Disc-Version-Console-with-Extra-Blue-Controller-Media-Remote-and-Surge-Pro-Gamer-Starter-Pack-11-Piece-Accessory-Bundle/390178644,"https://i5.walmartimages.com/seo/Sony-Playstation-5-Disc-Version-Console-with-Extra-Blue-Controller-Media-Remote-and-Surge-Pro-Gamer-Starter-Pack-11-Piece-Accessory-Bundle_c04ac9d9-d7b3-4452-8044-8fb70dce423c.fab5aed46d49fe4e28d7b82d64427d69.jpeg,https://i5.walmartimages.com/asr/aef12111-4ada-4129-bc18-ae442d973ccd.5ad0263c79d48b6db99b676f97af2055.jpeg,https://i5.walmartimages.com/asr/65a69f8f-d439-4ed5-b9dd-27a94432c8ec.b7d3b5154a5f83e2eb457a52f8dba552.jpeg,https://i5.walmartimages.com/asr/76123e24-bf7f-4ed8-beb3-76bcac93c8e5.df5820b3ecc076cbcd2bded9a12d572a.jpeg",https://www.walmart.com/seller/489
